StartLine	EndLine	Event	SelectedFields
69244	69260	C1 OFFENSE REQUEST	ElapsedMs=211720.365 | Actor=PC_Hero | Generation=77 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | ActualGroup=7 | PhysicalCollisionChanged=0
69261	69287	ENGINE SetCollisionGroup	ElapsedMs=211720.399 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=4 | PlayerAniPhase=1 | PlayerStateTime=0.209977 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
69288	69307	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=211720.424 | SourceAddress=E6E71210
69308	69370	OUTER_FRAME OFFENSE	ElapsedMs=211720.438 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | MarkerAction=ACCEPTED | SetCollisionGroupAction=REQUESTED_ITEM_ATTACK | CurrentAction=4 | CurrentStateTime=0.209977
69371	69396	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=211921.593 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
69397	69421	PRIMARYFIRST StopMotion	ElapsedMs=211928.870
69422	69448	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=211928.915 | Actor=PC_Hero
69449	69473	PRIMARYFIRST PlayMotion	ElapsedMs=211928.914
69474	69499	COMBATMOVE STARTRECOVER END	ElapsedMs=211928.992 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
69500	69516	C1 CLEANUP FULFILLED	ElapsedMs=211929.072 | Actor=PC_Hero | Generation=77 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | ActualGroup=5 | PhysicalCollisionChanged=0
69517	69543	ENGINE SetCollisionGroup	ElapsedMs=211929.087 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=4 | PlayerAniPhase=3 | PlayerStateTime=0.401958 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
69544	69564	NATIVE CLEANUP CALL SITE	ElapsedMs=211929.105 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
69565	69594	OUTER_FRAME CLEANUP	ElapsedMs=211929.130 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=4 | CurrentStateTime=0.401958
69595	69634	AISETSTATE CALLSITE	ElapsedMs=212028.915 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentStateTime=0.507958 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Recover_N_Fwd_00_%_00_P1_0_R.xmot
69635	69659	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=212028.985 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.507958
69660	69702	C1 FINALIZATION	ElapsedMs=212029.010 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=77 | Status=PERSISTED | PhysicalCollisionChanged=0
69703	69727	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=212029.050 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
69728	69767	AISETSTATE CALLSITE	ElapsedMs=212029.100 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Recover_N_Fwd_00_%_00_P1_0_R.xmot
