StartLine	EndLine	Event	SelectedFields
24113	24137	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=85236.659 | Actor=Golem | CurrentAction=2 | CurrentStateTime=0.349978
24138	24164	ENGINE SetCollisionGroup	ElapsedMs=85236.742 | RequestedGroup=7 | BeforeGroup=0 | AfterGroup=0 | PlayerAction=0 | PlayerAniPhase=3 | PlayerStateTime=0.100010 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
24165	24204	AISETSTATE CALLSITE	ElapsedMs=85600.036 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.451975 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
24205	24229	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=85600.106 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.451975
24230	24254	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=85600.129 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
24255	24271	C1 LIFECYCLE START	ElapsedMs=85610.805 | Actor=PC_Hero | Generation=69 | Status=CANDIDATE | PhysicalCollisionChanged=0
24272	24285	C1-O2 OUTER BINDING	ElapsedMs=85610.843 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=69 | Status=CANDIDATE | PhysicalCollisionChanged=0
24286	24310	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=85610.855 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
24311	24335	PRIMARYFIRST StopMotion	ElapsedMs=85610.893
24336	24368	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=85610.918 | Actor=PC_Hero
24369	24393	PRIMARYFIRST PlayMotion	ElapsedMs=85610.917
24394	24404	C1 LIFECYCLE STATUS	ElapsedMs=85611.099 | Event=PERSISTED | Actor=PC_Hero | Generation=69 | Status=PERSISTED | PhysicalCollisionChanged=0
