StartLine	EndLine	Event	SelectedFields
92483	92514	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=390638.791 | Actor=PC_Hero
92515	92539	PRIMARYFIRST PlayMotion	ElapsedMs=390638.790
92540	92550	C1 LIFECYCLE STATUS	ElapsedMs=390638.884 | Event=PERSISTED | Actor=PC_Hero | Generation=127 | Status=PERSISTED | PhysicalCollisionChanged=0
92551	92577	ENGINE SetCollisionGroup	ElapsedMs=390690.505 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.056984 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
92578	92604	ENGINE SetCollisionGroup	ElapsedMs=390930.354 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.295962 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
92605	92627	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=390945.058 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
92628	92652	PRIMARYFIRST StopMotion	ElapsedMs=390945.122
92653	92679	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=390945.152 | Actor=PC_Hero
92680	92704	PRIMARYFIRST PlayMotion	ElapsedMs=390945.151
92705	92727	COMBATMOVE STARTRECOVER END	ElapsedMs=390945.225 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
92728	92767	AISETSTATE CALLSITE	ElapsedMs=390945.285 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
92768	92792	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=390945.327 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
92793	92814	C1 FINALIZATION	ElapsedMs=390945.349 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=127 | Status=PERSISTED | PhysicalCollisionChanged=0
92815	92839	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=390945.369 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
92840	92864	PRIMARYFIRST StopMotion	ElapsedMs=391417.694
92865	92889	PRIMARYFIRST StopMotion	ElapsedMs=391417.748
92890	92916	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=391417.772 | Actor=PC_Hero
92917	92941	PRIMARYFIRST PlayMotion	ElapsedMs=391417.771
92942	92981	AISETSTATE CALLSITE	ElapsedMs=391585.967 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=12 | CurrentStateTime=0.628968 | CurrentMovementAni=Hero_Stand_None_2H_P0_Move_Stand_N_Fwd_00_%_00_P0_0.xmot
92982	93006	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=391586.037 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.628968
93007	93031	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=391586.060 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93032	93056	PRIMARYFIRST StopMotion	ElapsedMs=391597.540
93057	93083	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=391597.598 | Actor=PC_Hero
93084	93108	PRIMARYFIRST PlayMotion	ElapsedMs=391597.596
93109	93148	AISETSTATE CALLSITE	ElapsedMs=391597.751 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=8 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Move_Walk_N_Back_00_%_00_P0_160.xmot
93149	93173	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=391597.793 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93174	93198	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=391597.816 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93199	93223	PRIMARYFIRST StopMotion	ElapsedMs=391608.888
93224	93248	PRIMARYFIRST StopMotion	ElapsedMs=391608.940
93249	93275	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=391608.966 | Actor=PC_Hero
93276	93300	PRIMARYFIRST PlayMotion	ElapsedMs=391608.965
93301	93325	PRIMARYFIRST StopMotion	ElapsedMs=391731.308
93326	93352	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=391731.364 | Actor=PC_Hero
93353	93377	PRIMARYFIRST PlayMotion	ElapsedMs=391731.363
93378	93402	PRIMARYFIRST StopMotion	ElapsedMs=391948.493
93403	93429	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=391948.544 | Actor=PC_Hero
93430	93454	PRIMARYFIRST PlayMotion	ElapsedMs=391948.543
93455	93479	PRIMARYFIRST StopMotion	ElapsedMs=392080.338
93480	93504	PRIMARYFIRST StopMotion	ElapsedMs=392080.390
93505	93531	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=392080.416 | Actor=PC_Hero
93532	93556	PRIMARYFIRST PlayMotion	ElapsedMs=392080.415
93557	93581	PRIMARYFIRST StopMotion	ElapsedMs=392284.831
93582	93608	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=392284.883 | Actor=PC_Hero
93609	93633	PRIMARYFIRST PlayMotion	ElapsedMs=392284.882
93634	93660	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=392318.658 | Actor=PC_Hero
93661	93685	PRIMARYFIRST PlayMotion	ElapsedMs=392318.656
93686	93710	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=392504.867 | Actor=ReddockOrcScout01 | CurrentAction=10 | CurrentStateTime=0.000000
93711	93735	MARKER OWNERSHIP DECISION	ElapsedMs=392504.963 | Actor=ReddockOrcScout01 | CurrentMovementAni=Orc_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
93736	93760	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=392711.328 | Actor=ReddockOrcWarrior01 | CurrentAction=1 | CurrentStateTime=0.000000
93761	93785	MARKER OWNERSHIP DECISION	ElapsedMs=392711.413 | Actor=ReddockOrcWarrior01 | CurrentMovementAni=Orc_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_140_R.xmot
93786	93825	AISETSTATE CALLSITE	ElapsedMs=392725.923 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.117951 | CurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
93826	93850	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=392725.993 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.117951
93851	93875	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=392726.018 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93876	93919	AIFULLSTOP CALLSITE	ElapsedMs=392732.548 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
93920	93960	AISETSTATE CALLSITE	ElapsedMs=392732.651 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
93961	93985	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=392732.712 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93986	94010	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=392732.763 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
94011	94027	C1 LIFECYCLE START	ElapsedMs=392736.778 | Actor=PC_Hero | Generation=130 | Status=CANDIDATE | PhysicalCollisionChanged=0
94028	94041	C1-O2 OUTER BINDING	ElapsedMs=392736.809 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=130 | Status=CANDIDATE | PhysicalCollisionChanged=0
94042	94066	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=392736.819 | Actor=PC_Hero | CurrentAction=10 | CurrentStateTime=0.000000
94067	94091	PRIMARYFIRST StopMotion	ElapsedMs=392736.856
94092	94123	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=392736.879 | Actor=PC_Hero
94124	94148	PRIMARYFIRST PlayMotion	ElapsedMs=392736.878
94149	94159	C1 LIFECYCLE STATUS	ElapsedMs=392736.988 | Event=PERSISTED | Actor=PC_Hero | Generation=130 | Status=PERSISTED | PhysicalCollisionChanged=0
