StartLine	EndLine	Event	SelectedFields
318528	318553	COMBATMOVE STARTRECOVER END	ElapsedMs=778778.550 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318554	318593	AISETSTATE CALLSITE	ElapsedMs=778778.605 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_Shield_1H_P2_StumbleR_Hit_N_Fwd_00_%_00_P1_100.xmot
318594	318618	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=778778.643 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
318619	318653	C1 FINALIZATION	ElapsedMs=778778.666 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=956 | Status=PERSISTED | PhysicalCollisionChanged=0
318654	318678	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=778778.693 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
318679	318703	PRIMARYFIRST StopMotion	ElapsedMs=778793.296
318704	318728	PRIMARYFIRST StopMotion	ElapsedMs=778793.349
318729	318755	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778793.372 | Actor=PC_Hero
318756	318780	PRIMARYFIRST PlayMotion	ElapsedMs=778793.372
318781	318805	PRIMARYFIRST StopMotion	ElapsedMs=778974.966
318806	318832	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778975.016 | Actor=PC_Hero
318833	318857	PRIMARYFIRST PlayMotion	ElapsedMs=778975.015
318858	318884	ENGINE SetCollisionGroup	ElapsedMs=779087.633 | RequestedGroup=7 | BeforeGroup=1 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=8 | PlayerStateTime=0.291978 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_Move_Walk_N_Fwd_00_%_00_P1_160.xmot
318885	318909	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=779221.847 | Actor=Orc_Camp_Warrior_02 | CurrentAction=5 | CurrentStateTime=0.000000
318910	318934	MARKER OWNERSHIP DECISION	ElapsedMs=779221.939 | Actor=Orc_Camp_Warrior_02 | CurrentMovementAni=Orc_Stand_None_2H_P0_QuickAttackL_Hit_N_Fwd_00_%_00_P0_100_L.xmot
