StartLine	EndLine	Event	SelectedFields
1919	1948	OUTER_FRAME OFFENSE	ElapsedMs=30850.974 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=1 | CurrentStateTime=0.266805
1949	1971	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=31127.415 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
1972	1995	HIT STARTRECOVER BEGIN STACK	ElapsedMs=31127.470 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentStateTime=0.575885 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
1996	2020	PRIMARYFIRST StopMotion	ElapsedMs=31127.751
2021	2047	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=31127.781 | Actor=PC_Hero
2048	2072	PRIMARYFIRST PlayMotion	ElapsedMs=31127.780
2073	2095	COMBATMOVE STARTRECOVER END	ElapsedMs=31127.895 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
2096	2112	C1 CLEANUP FULFILLED	ElapsedMs=31127.952 | Actor=PC_Hero | Generation=2 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=5 | PhysicalCollisionChanged=0
2113	2139	ENGINE SetCollisionGroup	ElapsedMs=31127.967 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.575885 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
2140	2160	NATIVE CLEANUP CALL SITE	ElapsedMs=31127.986 | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
2161	2190	OUTER_FRAME CLEANUP	ElapsedMs=31128.009 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.575885
2191	2230	AISETSTATE CALLSITE	ElapsedMs=31128.061 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.575885 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
2231	2255	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=31128.103 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.575885
2256	2278	C1 FINALIZATION	ElapsedMs=31128.125 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=2 | Status=PERSISTED | PhysicalCollisionChanged=0
2279	2303	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=31128.145 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
2304	2330	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=32227.595 | Actor=PC_Hero
2331	2355	PRIMARYFIRST PlayMotion	ElapsedMs=32227.593
2356	2395	AISETSTATE CALLSITE	ElapsedMs=32573.449 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.435801 | CurrentMovementAni=Hero_Stand_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
2396	2420	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=32573.520 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.435801
2421	2445	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=32573.543 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
2446	2485	AISETSTATE CALLSITE	ElapsedMs=32583.106 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
2486	2510	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=32583.226 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
2511	2535	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=32583.254 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
2536	2575	AISETSTATE CALLSITE	ElapsedMs=32593.202 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=
2576	2600	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=32593.269 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
2601	2625	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=32593.291 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
2626	2642	C1 LIFECYCLE START	ElapsedMs=32603.677 | Actor=PC_Hero | Generation=3 | Status=CANDIDATE | PhysicalCollisionChanged=0
2643	2656	C1-O2 OUTER BINDING	ElapsedMs=32603.715 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=3 | Status=CANDIDATE | PhysicalCollisionChanged=0
2657	2681	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=32603.727 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
2682	2706	PRIMARYFIRST StopMotion	ElapsedMs=32604.127
2707	2739	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=32604.183 | Actor=PC_Hero
2740	2764	PRIMARYFIRST PlayMotion	ElapsedMs=32604.182
2765	2775	C1 LIFECYCLE STATUS	ElapsedMs=32604.356 | Event=PERSISTED | Actor=PC_Hero | Generation=3 | Status=PERSISTED | PhysicalCollisionChanged=0
2776	2800	MARKER OWNERSHIP DECISION	ElapsedMs=32604.387 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
2801	2817	C1 OFFENSE REQUEST	ElapsedMs=32703.651 | Actor=PC_Hero | Generation=3 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | ActualGroup=7 | PhysicalCollisionChanged=0
2818	2844	ENGINE SetCollisionGroup	ElapsedMs=32703.684 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=4 | PlayerAniPhase=1 | PlayerStateTime=0.100982 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
2845	2864	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=32703.709 | SourceAddress=E70E8610
2865	2894	OUTER_FRAME OFFENSE	ElapsedMs=32703.723 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E70E8610 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=4 | CurrentStateTime=0.100982
2895	2917	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=33124.113 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
2918	2942	PRIMARYFIRST StopMotion	ElapsedMs=33124.433
2943	2969	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=33124.461 | Actor=PC_Hero
2970	2994	PRIMARYFIRST PlayMotion	ElapsedMs=33124.460
2995	3017	COMBATMOVE STARTRECOVER END	ElapsedMs=33124.529 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackR_Hit_N_Fwd_00_%_00_P1_90_R.xmot
